experiment,n_features,train_seconds,val_macro_f1,test_macro_f1,test_balanced_accuracy,test_log_loss
price_only,12,0.16591620445251465,0.3670989608093665,0.41732684427318095,0.4204960172764843,1.0806899070739746
static_lob,34,0.30462002754211426,0.3760923210791512,0.40395346758441514,0.4483142552474182,1.0725213289260864
dynamic_lob,30,0.21753811836242676,0.348683829123751,0.41954402768797044,0.42639152604861313,1.0828545093536377
lob_full,64,0.40746521949768066,0.3736645309679994,0.4559789737031951,0.4737433083177252,1.0550252199172974
full_no_trade,80,0.4772810935974121,0.3844745391751298,0.4636958145722683,0.479662929917194,1.0463613271713257
full_with_trade,89,0.5200669765472412,0.3966906738846425,0.4627613371073298,0.473771095137524,1.041568636894226
full_no_time,76,0.45426392555236816,0.37888862219308767,0.45934533990929843,0.47542400599960494,1.0509573221206665
